2018-03-21 12:43:09 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks','[{"in_out_detail_no":"1","item_cd ":"000004","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 12:44:55 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:44:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:44:56 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:45:18 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 12:45:18 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 12:45:18 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 12:47:12 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks remarks','[{"in_out_detail_no":"1","item_cd ":"000004","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 12:47:40 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 12:47:46 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks remarks','[{"in_out_detail_no":"1","item_cd ":"000004","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 12:48:41 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 12:48:44 EXEC SPC_COMPONENT_PRODUCT_FND '','','','1','1','10';
2018-03-21 12:48:49 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks remarks','[{"in_out_detail_no":"1","item_cd ":"000121","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 12:50:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks remarks','[{"in_out_detail_no":"1","item_cd ":"000121","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 12:50:29 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks remarks','[{"in_out_detail_no":"1","item_cd ":"000121","serial_no ":"123456","in_out_qty ":"123456","remarks ":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:07:40 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:07:41 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:07:41 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 13:08:50 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:21:06 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:21:09 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:21:18 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'U','SY201701050003','2','2018/01/01','10','so0004','remarks','[{"in_out_detail_no":"1","item_cd":"000004","serial_no":"123456","in_out_qty":"123456","remarks":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"},{"in_out_detail_no":"2","item_cd":"000004","serial_no":"123456","in_out_qty":"10","remarks":"detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks detail remarks"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:21:19 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 13:23:43 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:23:44 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 13:23:44 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:24:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:24:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:24:39 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 13:26:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:26:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:26:22 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 13:28:13 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:28:13 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 13:28:13 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:35:24 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:35:25 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:35:28 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:35:28 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:36:06 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:36:15 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:37:19 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:37:19 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:37:26 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:37:33 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:38:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:38:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:38:22 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:38:27 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:39:30 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:39:30 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:39:38 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:39:44 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:39:49 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:39:52 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:40:54 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:40:54 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:41:00 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:41:07 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:41:13 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','','2','2018/03/17','00','so0004','備考','[{"in_out_detail_no":"1","item_cd":"000112","serial_no":"","in_out_qty":"10","remarks":"10"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:41:14 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803210001';
2018-03-21 13:42:00 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','','2','2018/03/17','00','so0004','備考','[{"in_out_detail_no":"1","item_cd":"000112","serial_no":"","in_out_qty":"10","remarks":"10"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:42:01 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803210002';
2018-03-21 13:48:11 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 13:48:12 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 13:48:23 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-21 13:48:28 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-21 13:48:31 EXEC SPC_COMPONENT_PRODUCT_FND '','','1','','1','10';
2018-03-21 13:48:38 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','','2','2018/03/09','00','so0004','備考','[{"in_out_detail_no":"1","item_cd":"0003","serial_no":"","in_out_qty":"10","remarks":"10"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:48:39 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803210003';
2018-03-21 13:49:02 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','SY201803210003','2','','00','so0004','備考','[{"in_out_detail_no":"1","item_cd":"0003","serial_no":"","in_out_qty":"10","remarks":"10"}]','001','048_input_output_detail','192.168.5.206';
2018-03-21 13:49:03 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803210004';
2018-03-21 13:49:35 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
